Scheme Name,Net Asset Value
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3221
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,28.8625
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.7299
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth,27.8883
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.7904
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),1010.7049
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,2060.5629
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),1032.2094
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1014.6434
Invesco India Banking & PSU Debt Fund - Growth Option,1938.0883
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),1034.3228
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,11.3627
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,11.3627
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,11.2037
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,11.2037
Kotak Banking and PSU Debt - Annual Dividend,16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604
Kotak Banking and PSU Debt - Growth,55.8801
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,10.4986
Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427
Kotak Banking and PSU Debt Direct - Growth,57.7325
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2669
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,12.8861
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,31.8476
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,11.9942
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,10.052
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,10.8899
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,29.8501
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,11.1718
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,10.05
Mirae Asset Banking and PSU Debt Fund Direct Growth,11.2920
Mirae Asset Banking and PSU Debt Fund Direct IDCW,11.2917
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,11.1517
Mirae Asset Banking and PSU Debt Fund Regular IDCW,11.1526
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,18.2918
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,18.2916
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,17.7728
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,18.2916
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.7244
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.8499
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.2786
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,17.7728
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6588
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.7945
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2795
